Original Filename,Sanitized Filename,Firebase Storage URL,Folder,Status
"Adhyatam Upanishad (अध्यात्म उपनिषद्) 01.mp3","adhyatam_upanishad___01.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/adhyatam_upanishad___01.mp3","dowloaded_mp3_suno","success"
"Awakening Energy (1).mp3","awakening_energy_1.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/awakening_energy_1.mp3","dowloaded_mp3_suno","success"
"Awakening Energy.mp3","awakening_energy.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/awakening_energy.mp3","dowloaded_mp3_suno","success"
"Beautiful Hare Krishna Hare Rama Bhajan.mp3","beautiful_hare_krishna_hare_rama_bhajan.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/beautiful_hare_krishna_hare_rama_bhajan.mp3","dowloaded_mp3_suno","success"
"Divine Vibrations.mp3","divine_vibrations.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/divine_vibrations.mp3","dowloaded_mp3_suno","success"
"Elevate_ Meditative Binaural Bliss (1).mp3","elevate__meditative_binaural_bliss_1.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/elevate__meditative_binaural_bliss_1.mp3","dowloaded_mp3_suno","success"
"Elevate_ Meditative Binaural Bliss.mp3","elevate__meditative_binaural_bliss.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/elevate__meditative_binaural_bliss.mp3","dowloaded_mp3_suno","success"
"Energetic Krishna Bhajan.mp3","energetic_krishna_bhajan.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/energetic_krishna_bhajan.mp3","dowloaded_mp3_suno","success"
"Energy of Serenity (1).mp3","energy_of_serenity_1.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/energy_of_serenity_1.mp3","dowloaded_mp3_suno","success"
"Energy of Serenity.mp3","energy_of_serenity.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/energy_of_serenity.mp3","dowloaded_mp3_suno","success"
"Fusion Krishna Bhajan.mp3","fusion_krishna_bhajan.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/fusion_krishna_bhajan.mp3","dowloaded_mp3_suno","success"
"Govinda Gopala.mp3","govinda_gopala.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/govinda_gopala.mp3","dowloaded_mp3_suno","success"
"Healing Heart Chakra 528Hz.mp3","healing_heart_chakra_528hz.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/healing_heart_chakra_528hz.mp3","dowloaded_mp3_suno","success"
"Heart Awakening.mp3","heart_awakening.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/heart_awakening.mp3","dowloaded_mp3_suno","success"
"Radhe Radhe Govinda.mp3","radhe_radhe_govinda.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/radhe_radhe_govinda.mp3","dowloaded_mp3_suno","success"
"Raghupati Raghava Raja Ram (1).mp3","raghupati_raghava_raja_ram_1.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/raghupati_raghava_raja_ram_1.mp3","dowloaded_mp3_suno","success"
